,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Terf1,93.3293668751081,1.4093956863752,0.321086697229221,4.38945524226762,1.13634962570998e-05,0.0017243589047591
Tceb1,311.807920773986,1.48833372836537,0.373465347457695,3.98519899770344,6.74235969783578e-05,0.0062524148931263
Snord89,49.4557647548897,-2.65784083256379,0.597642541031312,-4.44720823918814,8.69934967819672e-06,0.0014236229885143
Tpp2,171.714378194486,1.22124569208721,0.300354552441157,4.06601359014349,4.78241481543797e-05,0.0045878200057063
Coq10b,239.008642959698,2.00566255544077,0.300340285744326,6.67796712808667,2.4227936223071002e-11,1.01103177858875e-07
Fam117b,66.4746679564746,1.50596740427892,0.371811429435846,4.05035263860486,5.11405067013133e-05,0.0048502121469222
Wdfy1,68.7853655557156,1.68507968116346,0.395534133807394,4.26026362110131,2.04185926943787e-05,0.0026627121035513
Cab39,340.917375770883,1.67577885796355,0.312983504897834,5.35420823059211,8.59318567130044e-08,6.77465154125171e-05
2900060B14Rik,27.2048624232757,-2.45911381539343,0.678855613071852,-3.6224401301859,0.0002918370193799,0.0160500580778415
Dhx9,271.523748724428,1.47346811716759,0.358652337934306,4.10834661124525,3.98501734554042e-05,0.0041060437982568
Ildr2,286.373562277134,1.06709795188383,0.330794000633147,3.2258685158781,0.0012559103865924,0.0400069774293922
Crp,831.076050307789,-1.08657242591115,0.315432831776512,-3.44470301265594,0.000571687148295,0.0252449785167741
Desi2,84.7712989304204,1.31783940014146,0.400813766953577,3.28790952006919,0.001009342727169,0.0346780435293106
Iars2,163.74706919036,1.9617394961062,0.526799700148067,3.72388119346843,0.0001961832756305,0.0126678117607897
Abracl,115.146010040211,1.10977144446072,0.334900088718127,3.31373887868622,0.0009205743427894,0.0329367179311117
Sesn1,50.1350783641448,1.2744105155597,0.367341668539643,3.46927839857126,0.0005218583809722,0.0236708154760582
Timp3,220.086817764181,1.3080943120397,0.256867800664494,5.09248067938362,3.53408737683662e-07,0.0001474774662353
Nr2c1,104.61313842421,1.61194108505316,0.369636721174083,4.36087918952729,1.29540879304658e-05,0.0019306217476369
Nup107,41.5558505235885,1.62686936136939,0.496874714002569,3.27420437289747,0.0010595994575551,0.035658939809497
Tspan31,232.549449105987,1.11101201453128,0.332156423945977,3.34484578480403,0.000823283332699,0.0308122093933033
Suox,297.715136176716,1.04990986479101,0.290986428062013,3.60810595801141,0.000308440527669,0.0165015682302945
Morc2a,91.7423747056738,1.19040782382839,0.370622893846282,3.211911200289,0.0013185512437667,0.0415269006810455
Rps15a-ps6,60.9686268142169,-1.79940927992895,0.440409983657647,-4.0857595120453,4.3932865056625e-05,0.0043136904913246
Ppia,307.511284234979,1.1801917318756,0.267877825452129,4.40570894542562,1.05438460327615e-05,0.0016296099812857
Egfr,157.113104290492,-1.18530559109097,0.359337658898128,-3.29858438641134,0.0009717366763632,0.0342198915650949
Vps54,102.441268321118,1.00645397249867,0.307672878374585,3.27118197033062,0.0010709897265238,0.0358975110745713
Wwc1,26.1173352995424,2.5295154331001,0.694600080479912,3.64168606394692,0.0002708582548186,0.015590227549769
Flt4,30.9179544353168,-1.40096235913412,0.444320947825049,-3.15304143545749,0.0016157886996438,0.0464752716455384
Iba57,98.5326973705287,-1.13799469292897,0.32013177430876,-3.55476958007735,0.0003783104690012,0.0186827170076007
Mprip,94.519221980577,-1.29179130166313,0.379763595869151,-3.40156696353861,0.0006700071165698,0.0274954979841977
Fxr2,156.216927040985,-1.38833814751128,0.297877437531925,-4.66076974145612,3.15028999025534e-06,0.0007303422294075
Crk,136.055940438977,1.58364438457466,0.386033179636484,4.10235303106828,4.08969631061108e-05,0.0041123620973927
Rpl23a,705.707972496323,-1.37011639599187,0.264163946656559,-5.18661389388298,2.14152076009817e-07,0.0001276652304555
Pctp,176.954953641226,-1.13339138661291,0.357294679836364,-3.17214739142489,0.0015131618855293,0.0454162530383523
Kpnb1,303.772267095397,1.48925393820982,0.288276292412356,5.16606456170028,2.39074240450101e-07,0.0001297054645227
Cdk12,92.0612953027752,1.42588846868152,0.344746317611829,4.13605133931267,3.53333173176116e-05,0.0037806649529844
Dnajc7,68.7997840863377,-1.48713540415644,0.436877328040894,-3.40401139794839,0.000664039824548,0.0274954979841977
Nbr1,982.369075317388,1.46146148965701,0.413123352151554,3.53759109003569,0.000403794876317,0.0193682301019655
Rundc3a,34.1790573240748,-2.17533249311284,0.526767124710141,-4.12959046050916,3.63409996213717e-05,0.0038392656055692
Ddx5,1804.15847493271,1.13803522013211,0.238546957921832,4.77069684747363,1.83589670826041e-06,0.0005674960713756
H3f3b,956.222407132984,1.05024873361976,0.319436563029516,3.2878162839572,0.0010096770402135,0.0346780435293106
Alyref,31.5139285757379,1.92529616306765,0.512793767477391,3.75452332921058,0.0001736716696979,0.0115957100423956
Apob,659.016217737458,-1.18040449477124,0.375707502230283,-3.14181773790542,0.0016790251934065,0.0476167131944597
Dnajb9,135.010935935727,1.24551125941531,0.391937998912674,3.17782726571713,0.0014838312378577,0.0449066080614309
Sptssa,448.507303706311,1.37082618763614,0.29730186869308,4.61088991354882,4.00948836481755e-06,0.0007967426164944
Churc1,123.875204320655,2.5055463223384,0.527977916856086,4.74555136180317,2.07939139491526e-06,0.0005784866860654
Rad51b,64.4414002453134,-1.46148023143663,0.459933648284649,-3.17758928246999,0.0014850495836274,0.0449066080614309
Fcf1,197.777724837047,-1.3545460444552,0.330972012481129,-4.09263017226397,4.26507670244569e-05,0.0042376583522156
Acyp1,149.18959083502,1.58517431870322,0.381783299248578,4.15202635061079,3.2954430569005e-05,0.0035719178899859
Alkbh1,21.0030526561527,1.88268146609404,0.545609975296729,3.45059942327879,0.0005593430999304,0.0248312633618062
Serpina1e,275.05834242189,-2.01985098254621,0.473135565794942,-4.26907450754108,1.96285699479085e-05,0.0026422587868587
Serpina3k,6065.89268965339,-1.13501694440138,0.342020836419394,-3.31856081133489,0.0009048261828996,0.0326912524782704
Akr1c20,189.105919172116,1.07693970647707,0.318612264463959,3.38009495111227,0.000724607921609,0.028430459363704
Lgals8,770.251386444074,1.25029618350427,0.24546258769337,5.09363237491055,3.51267586935964e-07,0.0001474774662353
